2421651ALCON LAGRIMAS                              sol.oft.x 15 ml         00007800NNAlcon           00001028520160401002020050013607792086057544000110SNN00
2645732ALCON LAGRIMAS                              ung.oft.x 3.5 g         00012081NNAlcon           00001988720160401001000051497707792086057537000110NNN00
3430041ALCON LAGRIMAS II                           fco.x 15 ml             00007800NNAlcon           00001592220160401002020051114807792086057520000110SNN00
2193461ALCON MYDRIL                                1% sol.oft.x 5 ml       00006774NNAlcon           00001094220160401002020050013807792086057551000110SNN00
4460481AZOPT                                       1% susp.oft.x 5 ml      00015454NNAlcon           00002591520160401012080052309807792086416372000110SNN00
3012421BETASEL                                     0.5% fco.x 5 ml         00006646NNAlcon           00000996820160401002080050014407896548158777000110SNN00
3430121BETASEL S                                   0.25% fco.x 5 ml        00008455NNAlcon           00001268220160401002080051263507792086057599000110SNN00
2063191CICLOPENAL                                  1% sol.x 5 ml           00006105NNAlcon           00001085320160401002000050278607792086057605000110SNN00
5056341CILOXADEX                                   sol.oft.x 5 ml          00006921NNAlcon           00001897520160401002020053173307896548140437000110SNN00
5198811CILOXADEX                                   ung.oft.x 3.5 g         00008167NNAlcon           00001699020160401002020053347507896548198575000110SNN00
3187421CILOXAN                                     sol.oft.x 5 ml          00007005NNAlcon           00001504220160401002080050727307792086057612000110SNN00
3429991FLAREX                                      susp.oft.x 5 ml         00011926NNAlcon           00001963320160401002020051193507792086057643000110SNN00
4629532GENTEAL                                     fco.gotero x 15 ml      00006497NNAlcon           00001027320160401012020053032007792086020500000120SNN00
4951281GENTEAL                                     gel oft.x 10 ml         00006577NNAlcon           00001082720160401012020053375407792086020654000110SNN00
6283131ILEVRO                                      0.3% susp.oft.est.x 3 ml00021302NNAlcon           00003317120160401002020055095707792086020883000110SNN00
0017851ISOPTO ATROPINA                             1% sol.oft.x 5 ml       00006266NNAlcon           00000910520160401002020050016307792086057711000110SNN00
0017191ISOPTO CARPINA                              1% sol.oft.x 15 ml      00004683NNAlcon           00000589320160401002060050016407896548158791000110SNN00
0017431ISOPTO CARPINA                              2% sol.oft.x 15 ml      00005506NNAlcon           00000737820160401002060050016507792086057735000110SNN00
0016861ISOPTO MAXIDEX                              susp.oft.x 5 ml         00006667NNAlcon           00001126120160401002020050017107792086057766000110SNN00
5473421NEVANAC                                     0.1% fco.got.x 5 ml     00018523NNAlcon           00002884420160401002020053811407792086416563000110SNN00
4338891PATANOL                                     0.1% fco.gotero x 5 ml  00013845NNAlcon           00002461520160401002020052114307792086416365000110SNN00
4338892PATANOL S                                   0.2% fco.gotero x 2.5 ml00013761NNAlcon           00002400120160401012020054143607792086000090000110SNN00
2856101PLOSTIM                                     0.25% sol.oft.x 5 ml    00003176NNAlcon           00000386320160401002060050657907896548125854000110SNN00
2856281PLOSTIM                                     0.50% sol.oft.x 5 ml    00005059NNAlcon           00000579020160401002060050658007792086058121000110SNN00
2856282PLOSTIM GEL                                 0.50% env.x 5 ml        00006116NNAlcon           00000917420160401002060053112107792086416471000110SNN00
5286662SYSTANE                                     Drop Tainer fco.x 15 ml 00013300NNAlcon           00002138720160401012020053552007792086416532000110SNN00
6139841SYSTANE GEL EN GOTAS                        Gel oft.en gotas x 10 ml00014200NNAlcon           00002197820160401012020054766807792086000106000110SNN00
5557712SYSTANE ULTRA                               sol.oft.est‚ril x 10 ml 00014200NNAlcon           00002138720160401012020054421607792086000038000110SNN00
3169101TOBRADEX                                    susp.oft.x 5 ml         00006300NNAlcon           00001219120160401002020050338507792086057889000110SNN00
3169282TOBRADEX                                    ung.x 3.5 g             00006500NNAlcon           00001365020160401002020051087207792086057872000110SNN00
2876162TOBREX                                      gts.oft.x 10 ml         00007417NNAlcon           00001106920160401002080050018907792086057902000130SNN00
2876161TOBREX                                      gts.oft.x 5 ml          00004240NNAlcon           00000829620160401002080051865907792086000021000110SNN00
2876242TOBREX                                      ung.oft.x 3.5 g         00007256NNAlcon           00001172120160401002080051087307792086057896000110SNN00
4908551TRAVATAN                                    sol.oft.x 2.5 ml        00017000NNAlcon           00002912320160401012080052847807792086416440000110SNN00
5193752VIGAMOX                                     0.5% sol.oft.x 5 ml     00017394NNAlcon           00002845620160401012060053631807792086416525000110SNN00
5759001COTRIMOX                                    comp.x 20               00004281NNAustral         00000459020160322002000074469907798011652174002010SNN00
5759131COTRIMOX                                    jbe.x 100 ml            00005000NNAustral         00000469020160412002000074530707798011652273000110SNN00
6179001COTRIMOX FORTE                              comp.x 10               00004500NNAustral         00000590020160212002000074878807798011652945001010SNN00
5532391DOLOFENAC 50                                50 mg comp.x 10         00002541NNAustral         00000349020160302002000073904807798011651733001010SNN00
5532261DOLOFENAC 75                                75 mg comp.lib.prol.x 1000003338NNAustral         00000490020160212002000073885307798011651740001010SNN00
5532682MEDIFOL 5                                   5 mg comp.x 30          00004500NNAustral         00000490020160502002000073885407798011651757003010SNN00
4028423METRAL                                      500 mg comp.vag.x 5     00002269NNAustral         00000259020160330002000072873307798011651191000510SNN00
4028341METRAL                                      500 mg comp.x 10        00003096NNAustral         00000349020160412002000072873207798011651184001010SNN00
4970791SANIBIOTIC                                  500 mg comp.rec.x 10    00002789NNAustral         00000429020160212002000073915507798011651719001010SNN00
4970912SANIBIOTIC                                  500 mg susp.x 90 ml     00007227NNAustral         00000499020150831002000073915607798011651801000110SNN00
3770791VITA D                                      fco.gotero x 10 ml      00004000NNAustral         00000349020160115002000073885207798011651764000110SNN00
5122111BETASALIC                                   loc.x 40 ml             00007688NNAndr¢maco       00001265520160413002020093972607793742006418000110NNN00
5122271BETASALIC                                   ung.x 15 g              00007237NNAndr¢maco       00001402720160413002020093325007793742006401000110SNN00
3295251BILOINA                                     comp.x 10               00002124NNAndr¢maco       00000732120160413002020091087507793742002243001010SNN00
3295252BILOINA                                     comp.x 30               00005404NNAndr¢maco       00001264320160413002020091087607793742002250003030SNN00
3295331BILOINA                                     jbe.x 60 ml             00002703NNAndr¢maco       00000481120160413002020091087707793742002267000110SNN00
3387741DAIVONEX                                    ung.x 30 g              00015743NNAndr¢maco       00003064820160413002000091193707793742002373000110SNN00
2367882DERALBINE                                   cr.x 40 g               00005000NNAndr¢maco       00001138120160413002020091997607793742002939000110SNN00
2481892DERALBINE                                   loc.x 40 ml             00005907NNAndr¢maco       00000954320160413002020091997807793742002953000110NNN00
2617514DERALBINE                                   pvo.en spray x 90 g     00011504NNAndr¢maco       00001858320160413002020092690207793742002977000110SNN00
2481712DERALBINE                                   pvo.x 40 g              00005000NNAndr¢maco       00001074020160413002020091997707793742002960000110SNN00
3428241ERI LOCION                                  loc.x 50 ml             00002956NNAndr¢maco       00000147620151120002000093325107793742006272000110NNN00
2412401FERDROMACO                                  comp.rec.x 30           00005789NNAndr¢maco       00000890620151130002020090065207793742001857003010SNN00
3953781FERDROMACO PEDIATRICO                       gts.x 20 ml             00004618NNAndr¢maco       00001200620160413002020094027307793742000478000110SNN00
2995381FITONAL                                     comp.x 20               00005833NNAndr¢maco       00000899720160413002020090565707793742002045002010SNN00
2994711FITONAL                                     cr.x 30 g               00004665NNAndr¢maco       00000946320160413002020090571807793742002052000110SNN00
3715681FLUPEC                                      150 mg comp.x 2         00007600NNAndr¢maco       00001511520160413002020094814307793742000119000210SNN00
3715682FLUPEC                                      150 mg comp.x 4         00013727NNAndr¢maco       00002694120160413002020094814407793742000126000420SNN00
3715683FLUPEC                                      150 mg comp.x 8         00025500NNAndr¢maco       00004448020160413002020094814507793742000133000850SNN00
5080261GENTAREN                                    cr.x 15 g               00002754NNAndr¢maco       00000157920151120002000093325207793742006364000110SNN00
5848681MEBUTAR 200                                 comp.mast.x 6           00004932NNAndr¢maco       00001251820160413002020094417307793742002342000610SNN00
3601231MEBUTAR 200                                 comp.x 6                00004932NNAndr¢maco       00001079320160413002020091213707793742002397000610SNN00
3601151MEBUTAR 200                                 susp.x 30 ml            00004358NNAndr¢maco       00001079320160413002020091213807793742002403000110SNN00
3667251MITIDERM                                    gel x 45 g              00018269NNAndr¢maco       00002104320151130002000094909217793742000058000110SNN00
2416121NAPRUX                                      250 mg comp.x 20        00004800NNAndr¢maco       00000917220160413002020090030407793742001420002010SNN00
2416123NAPRUX                                      250 mg comp.x 50        00011592NNAndr¢maco       00002022620160413002020092286707793742003066005030SNN00
3101021NAPRUX                                      500 mg comp.x 20        00009300NNAndr¢maco       00001822020160413002020090063607793742002076002010SNN00
3101022NAPRUX                                      500 mg comp.x 50        00023500NNAndr¢maco       00003833020160413002020093882107793742002083005030SNN00
3394912NAPRUX RAPID                                550 mg comp.rec.ran.x 1000005287NNAndr¢maco       00001093120160413002020094175407793742102660001010SNN00
3394911NAPRUX RAPID                                550 mg comp.rec.ran.x 2000012676NNAndr¢maco       00002067120160413002020094175507793742102448002030SNN00
6061711NEXOVITAL FLUOR                             gts.x 30 ml             00005300NNAndr¢maco       00000918920151130002000094787007793742000195000110SNN00
5842551NEXOVITAL FOLICO                            1 mg comp.x 30          00003800NNAndr¢maco       00000714520160413002020094419707793742000201003010SNN00
5842552NEXOVITAL FOLICO                            1 mg comp.x 60          00006000NNAndr¢maco       00001202220160413002020094419807793742000232006030SNN00
5842681NEXOVITAL FOLICO                            5 mg comp.x 30          00004500NNAndr¢maco       00000938820160413002020094419907793742000218003010SNN00
5842682NEXOVITAL FOLICO                            5 mg comp.x 60          00007000NNAndr¢maco       00001552120160413002020094420007793742000249006030SNN00
6133001NOVOCORT                                    0.6 mg comp.x 30        00007307NNAndr¢maco       00001440420160413002000094812007793742000614003010SNN00
6133131NOVOCORT                                    1.2 mg comp.x 30        00009947NNAndr¢maco       00001917720160413002000094812107793742000621003010SNN00
4880401NOVOCORT                                    cr.x 15 g               00006125NNAndr¢maco       00000998820160413002000094812307793742000638000110SNN00
6132971NOVOCORT                                    gts.x 30 ml             00006600NNAndr¢maco       00001188920160413002000094812207793742000607000110SNN00
5687974PREDUALERGIN                                5 mg comp.x 14          00006932NNAndr¢maco       00001030520160413002020094521907798021292414001430SNN00
5687972PREDUALERGIN                                5 mg comp.x 7           00003612NNAndr¢maco       00000531020160413002020094521807798021292407000710SNN00
5688001PREDUALERGIN                                jbe.x 60 ml             00006099NNAndr¢maco       00000833720160413002020094522007798021292421000110SNN00
3903361SALAC                                       cr.x 20 g               00005798NNAndr¢maco       00001342020160413002020092321207793742003134000110SNN00
3903362SALAC                                       cr.x 30 g               00006322NNAndr¢maco       00001679120160413002020095012007793742003097000120SNN00
3903522SALAC                                       loc.roll on x 10 ml     00005405NNAndr¢maco       00000831620160310002020092889107793742003103000110SNN00
3903521SALAC                                       loc.x 40 ml             00006592NNAndr¢maco       00001166320160413002020092321307793742003110000110SNN00
5720261SALAC                                       shamp.x 140 ml          00023705NNAndr¢maco       00003865720160413002020094382907793742003080000110SNN00
3903441SALAC                                       ung.x 20 g              00005798NNAndr¢maco       00001072020160413002020092321107793742003127000110SNN00
5448971SINAC                                       0.1% gel x 30 g         00016511NNAndr¢maco       00002780920160413002000093837507793742006708000110SNN00
5974971SINAC                                       0.3% gel x 30 g         00019584NNAndr¢maco       00003513020160413002020094638107793742006715000110SNN00
4856742VERRUTOPIC AS                               6 mm ap¢s.x 20+acces.   00009371NNAndr¢maco       00002211920160413002000093239907793742005244002010SNN00
6207711ARAPENTIN                                   300 mg c ps.x 60        00036040NNAriston         00004047220160323003080134860507795349000400006030SNN00
6207971ARAPENTIN                                   600 mg comp.x 30        00029268NNAriston         00003038320160323003080134860607795349000417003010SNN00
5859971AUDECOL                                     150 mg comp.x 20        00010018NNAriston         00001500020160331002020134480107795349000127002010SNN00
5853713AUDECOL                                     300 mg comp.x 20        00023630NNAriston         00003566220160323002020134849607795349000462002010SNN00
5853712AUDECOL                                     300 mg comp.x 50        00047809NNAriston         00006601920160323002020134480307795349000141005050SNN00
0059013BUTIMERIN                                   pvo.x 20 g              00000000NNAriston         00001028920160323002020134876807795349000486000120SNN00
9902203BUTIMERIN                                   pvo.x 60 g              00000000NNAriston         00000710620090601002020130220317795349011598000140NNN00
2469511CEGLUTION 300                               tab.x 20                00005358NNAriston         00000765420160323A03020133110407795349168902002010SNN00
2469512CEGLUTION 300                               tab.x 50                00011968NNAriston         00001709720160323A03020130054407795349010249005020SNN00
2469514CEGLUTION 300                               tab.x 90                00018341NNAriston         00002620120160323A03020134135007795349169459009050SNN00
5553391CEGLUTION XR                                comp.x 30               00009196NNAriston         00001313720160323A03020133873807795349169114003010SNN00
5553392CEGLUTION XR                                comp.x 60               00016645NNAriston         00002377820160323A03020133873907795349169121006030SNN00
4279312CIRCUVIT                                    2 mg comp.x 20          00005615NNAriston         000008022201511200020A0132063307795349168797002010SNN00
4279313CIRCUVIT                                    2 mg comp.x 50          00012639NNAriston         000018055201511200020A0133825607795349169015005030SNN00
4279492CIRCUVIT                                    5 mg comp.x 20          00006092NNAriston         000008703201511060020A0132063407795349168810002010SNN00
4279493CIRCUVIT                                    5 mg comp.x 50          00013545NNAriston         000019350201512040020A0133825707795349169022005030SNN00
5583132CUAIT TRIFLUOPERAZINA                       10 mg comp.x 30         00006939NNAriston         00000991320160323403020134849507795349000479003010SNN00
5583001CUAIT TRIFLUOPERAZINA                       5 mg comp.x 30          00006201NNAriston         00000885920160323403000133960007795349169145003010SNN00
5156431DEXATOTAL                                   4 mg comp.ran.x 10      00004333NNAriston         00000678520160323002020133350907798006880209001010SNN00
5156432DEXATOTAL                                   4 mg comp.ran.x 20      00009334NNAriston         00001338220160329002020133351007798006880285002030SNN00
5156641DEXATOTAL                                   8 mg comp.ran.x 10      00008500NNAriston         00001447020160323002020133351107798006880216001010SNN00
5156642DEXATOTAL                                   8 mg comp.ran.x 20      00018000NNAriston         00002890920160323002020134834707798006880247002020SNN00
5156643DEXATOTAL                                   8 mg comp.ran.x 30      00030004NNAriston         00004213320160323002020133351207798006880292003030SNN00
5846131EX3                                         10 mg comp.x 15         00009000NNAriston         00001114220160323A03020134382207795349000028001510SNN00
5846132EX3                                         10 mg comp.x 30         00023944NNAriston         00003229720160323A03020134382307795349000035003030SNN00
5846261EX3                                         20 mg comp.x 15         00017000NNAriston         00002055520160323A03020134382407795349000042001510SNN00
5846262EX3                                         20 mg comp.x 30         00043500NNAriston         00006050020160323A03020134382507795349000059003030SNN00
5517132OPTIPAR                                     20 mg comp.rec.x 30     00020300NNAriston         00003207120160323403020135097307795349000738003010SNN00
5548423OXI-Q                                       5 mg comp.x 30          00010000NNAriston         00001349620151106002020134897707795349000516003020SNN00
5548681OXI-Q LR                                    10 mg comp.rec.x 20     00020895NNAriston         00002247520151106002020133934707795349169671002010SNN00
5451973PRYSMA                                      20 mg caps.x 30         00012300NNAriston         00001697420160323002020134895207795349000509003050SNN00
5449711Q-PROST                                     5 mg comp.x 30          00016530NNAriston         00002542620160323002020133737507795349169589003010SNN00
5334001QUILAREX                                    75 mg comp.x 30         00013086NNAriston         00001988520160323403020133569307795349168926003010SNN00
5812972QUILAREX XR                                 150 mg comp.x 28        00027944NNAriston         00003705020151120403020134314207795349169527002830SNN00
5812712QUILAREX XR                                 37.5 mg comp.x 28       00016938NNAriston         00002255920160323403000134924607795349000578002830SNN00
5812842QUILAREX XR                                 75 mg comp.x 28         00018507NNAriston         00002663820160323403020134314007795349169503002830SNN00
6269132SOLUGASTRIL                                 20 mg comp.x 28         00021000NNAriston         00002718420160323002020135209507795349000776002810SNN00
6269131SOLUGASTRIL                                 20 mg comp.x 30         00019712NNAriston         00002922520151130002020134999807795349000653003030SNN00
6269262SOLUGASTRIL                                 40 mg comp.x 28         00029300NNAriston         00003789020160203002020135209607795349000783002810SNN00
6269261SOLUGASTRIL                                 40 mg comp.x 30         00029025NNAriston         00004040520151106002020134999907795349000660003030SNN00
5661711UROPROST-Q                                  0.4 mg caps.x 30        00028000NNAriston         00003179020160323002020134313407795349169596003010SNN00
5661712UROPROST-Q                                  0.4 mg caps.x 60        00043511NNAriston         00005844720160323002020134313507795349169602006030SNN00
4422441AMLODINE                                    10 mg comp.x 30         00013000NNEurofarma       00002578320160421002080182210507798016920407003010SNN00
4422361AMLODINE                                    5 mg comp.x 30          00008300NNEurofarma       00001446020160421002080182210407798016920391003010SNN00
5553711CARTAN                                      100 mg comp.x 30        00027000NNEurofarma       00003742520160421002060184000107798016921084003010SNN00
4877291CARTAN                                      50 mg comp.x 30         00020500NNEurofarma       00003122020160421002060182810007798016920506003030SNN00
4296981CILATRON AP                                 caps.x 30               00009182NNEurofarma       00000598120150826002080182073907798016920377003010SNN00
6272971CITTA                                       20 mg comp.x 14         00008600NNEurofarma       00001344320151204413020185110207798016920452001410SNN00
6272972CITTA                                       20 mg comp.x 28         00017941NNEurofarma       00002801820151204413020185110307798016920469002830SNN00
5613131CLONASEDAN                                  0.5 mg comp.x 30        00004300NNEurofarma       00000738520160421403020184043307798016921145003010SNN00
5613391CLONASEDAN                                  2 mg comp.x 30          00004800NNEurofarma       00000765720160421403060184043407798016921152003010SNN00
2364233COLIFILM                                    comp.x 10               00003206NNEurofarma       00000607120160421002020181760007798016920520001010SNN00
2364232COLIFILM                                    comp.x 50               00008956NNEurofarma       00001515620160421002020183445907798016920704005030SNN00
5322001COLONIL                                     sol.oral x 45 ml        00010000NNEurofarma       00001237420160421002020183558907798016920834000110SNN00
6294261ERTA                                        100 mg comp.rec.x 10    00014645NNEurofarma       00002433320160421403020185130507798016921695001010SNN00
6294262ERTA                                        100 mg comp.rec.x 30    00024500NNEurofarma       00004294120160421403020185130607798016921701003030SNN00
6294001ERTA                                        25 mg comp.rec.x 10     00003728NNEurofarma       00000630820160421403020185130107798016921657001010SNN00
6294002ERTA                                        25 mg comp.rec.x 30     00005852NNEurofarma       00000841120160421403020185130207798016921664003030SNN00
6294131ERTA                                        50 mg comp.rec.x 10     00009294NNEurofarma       00001572820160421403020185130307798016921671001010SNN00
6294132ERTA                                        50 mg comp.rec.x 30     00017300NNEurofarma       00002716720160421403020185130407798016921688003030SNN00
5433261ESOMAX                                      20 mg caps.x 14         00009635NNEurofarma       00001644320160421002020183800507798016920957001410SNN00
5433262ESOMAX                                      20 mg caps.x 28         00021000NNEurofarma       00003142320160421002020183800607798016920964002820SNN00
5433391ESOMAX                                      40 mg caps.x 14         00013417NNEurofarma       00002216620160421002020183800807798016920988001410SNN00
5433392ESOMAX                                      40 mg caps.x 28         00029300NNEurofarma       00004332320160421002020183800907798016920995002820SNN00
4848161NORMALIP                                    10 mg comp.rec.x 30     00018800NNEurofarma       00003082720160421002060182751907798016920476003010SNN00
4848241NORMALIP                                    20 mg comp.rec.x 30     00029300NNEurofarma       00005232420160421002060183446107798016920773003010SNN00
5607841PLASEDAN                                    0.25 mg comp.x 30       00001551NNEurofarma       00000201620150203403020185011507798016920384003010SNN00
5607842PLASEDAN                                    0.25 mg comp.x 60       00002561NNEurofarma       00000328920150131403020185011607798016920414006020SNN00
5607971PLASEDAN                                    0.5 mg comp.x 30        00002300NNEurofarma       00000318320150131403020184097507798016921114003010SNN00
